Id	Label
/BD_1	hospitium
/BD_2	hospitium
/BD_3	operatorium
/BD_4	hospitium cum operatorium
/BD_5	hospitium
/BD_6	hospitium
/BD_7	2 operatoria
/BD_8	operatorium
/BD_9	hospitium
/BD_10	hospitium
/BD_11	hospitium
/BD_12	hospitium cum crota
/BD_13	2 hospitia contigua
/BD_14	hospitium
/BD_15	hospitium
/BD_16	hospitium
/BD_17	hospitium
/BD_18	hospitium
/BD_19	hospitium
/BD_20	hospitium
/BD_21	hospitium
/BD_22	hospitium
/BD_23	2 hospitia contigua et unita et in unus hospitium reductus
/BD_24	2 hospitia contigua et sese tenentia
/BD_25	hospitium
/BD_26	hospitium
/BD_27	hospitium
/BD_28	hospitium
/BD_29	hospitium
/BD_30	hospitium
/BD_31	hospitium
/BD_32	hospitium
/BD_33	hospitium
/BD_34	hospitium
/BD_35	hospitium
/BD_36	hospitium
/BD_37	operatoria
/BD_38	hospitium
/BD_39	hospitium
/BD_40	hospitium
/BD_41	hospitium
/BD_42	hospitium
/BD_43	operatorium
/BD_44	hospitium
/BD_45	hospitium
/BD_46	hospitium in quo est furnus pasticerii
/BD_47	hospitium
/BD_48	hospitium
/BD_49	hospitium
/BD_50	hospitium
/BD_51	hospitium
/BD_52	hospitium
/BD_53	hospitium
/BD_54	hospitium
/BD_55	hospitium
/BD_56	hospitium
/BD_57	hospitium
/BD_58	hospitium
/BD_59	hospitium
/BD_60	hospitium
/BD_61	hospitium
/BD_62	2 hospitia contigua et sese tenentia
/BD_63	partes pro indiviso hospitium
/BD_64	partes pro indiviso hospitium
/BD_65	partes pro indiviso hospitium
/BD_66	hospitium
/BD_67	hospitium
/BD_68	hospitium
/BD_69	hospitium
/BD_70	2 partes hospitium cum puteo
/BD_71	3 partes hospitium
/BD_72	hospitium
/BD_73	hospitium
/BD_74	2 hospitia contigua et unita et in unus hospitium reductus
/BD_75	hospitium
/BD_76	hospitium
/BD_77	hospitium
/BD_78	hospitium
/BD_79	hospitium
/BD_80	hospitium
/BD_81	hospitium
/BD_82	hospitium
/BD_83	hospitium
/BD_84	hospitium in quo est furnus
/BD_85	hospitium
/BD_86	2 hospitia contigua et unita et in unus hospitium reductus in quo est puteo
/BD_87	hospitium
/BD_88	2 hospitia contigua et unita et in unus hospitium reductus
/BD_89	hospitium
/BD_90	hospitium cum puteo et platea
/BD_91	hospitium
/BD_92	hospitium
/BD_93	hospitium
/BD_94	hospitium
/BD_95	hospitium
/BD_96	hospitium
/BD_97	hospitium
/BD_98	hospitium
/BD_99	hospitium
/BD_100	hospitium
/BD_101	hospitium
/BD_102	hospitium
/BD_103	2 hospitia contigua et unita et in unus hospitium reductus
/BD_104	2 hospitia contigua et sese tenentia
/BD_105	partes hospitium
/BD_106	hospitium
/BD_107	hospitium cum crota seu cum cellari profundus cum arcu volto de lapidus
/BD_108	hospitium
/BD_109	hospitium
/BD_110	hospitium
/BD_111	domus
/BD_112	curtilus et domus
/BD_113	domus cum curte
/BD_114	localis et curtis contiguus
/BD_115	hospitium
/BD_116	hospitium cum solarium
/BD_117	hospitium et curtis contiguus et sese tenere et unitis
/BD_118	hospitium contiguus et sese tenere
/BD_119	hospitium
/BD_120	hospitium
/BD_121	hospitium
/BD_122	hospitium
/BD_123	hospitium
/BD_124	hospitium
/BD_125	parietum seu fundamentum hospitium et domus cum patuis et solo terra
/BD_126	hospitium
/BD_127	hospitium
/BD_128	hospitium
/BD_129	hospitium
/BD_130	hospitium cum curte
/BD_131	partes pro indiviso hospitium cum magnum platea cum puteuo et viridarium
/BD_132	hospitium cum curtis
/BD_133	hospitium
/BD_134	hospitium
/BD_135	hospitium
/BD_136	hospitium
/BD_137	hospitium
/BD_138	hospitium
/BD_139	hospitium
/BD_140	hospitium
/BD_141	hospitium
/BD_142	hospitium
/BD_143	hospitium
/BD_144	hospitium
/BD_145	hospitium
/BD_146	hospitium
/BD_147	hospitium
/BD_148	hospitium
/BD_149	hospitium indivisi
/BD_150	hospitium
/BD_151	hospitium in quo est puteo
/BD_152	hospitium
/BD_153	hospitium
/BD_154	cellarium cum solarium seu camera de super
/BD_155	hospitium
/BD_156	hospitium in quo est puteo
/BD_157	hospitium
/BD_158	hospitium
/BD_159	2 hospitia contigua et sese tenentia
/BD_160	hospitium
/BD_161	hospitium
/BD_162	transcurtis
/BD_163	hospitium
/BD_164	hospitium
/BD_165	hospitium
/BD_166	viridarium
/BD_167	hospitium
/BD_168	hospitium
/BD_169	hospitium
/BD_170	hospitium
/BD_171	2 hospitia contigua et unita et in unus hospitium reductus
/BD_172	hospitium
/BD_173	hospitium
/BD_174	hospitium
/BD_175	hospitium
/BD_176	hospitium
/BD_177	hospitium
/BD_178	hospitium
/BD_179	viridarium
/BD_180	hospitium et viridarium contigua et unitis
/BD_181	hospitium
/BD_182	hospitium
/BD_183	hospitium cum curtis
/BD_184	hospitium
/BD_185	hospitium
/BD_186	hospitium
/BD_187	hospitium
/BD_188	hospitium et curtis in quo ipse construxit et fecit fieri unum bonum puteum de novo
/BD_189	burguetus
/BD_190	hospitium et viridarium contigua et unitis
/BD_191	hospitium
/BD_192	hospitium
/BD_193	hospitium
/BD_194	hospitium et curtis
/BD_195	hospitium et viridarium contigua et unitis
/BD_196	hospitium et viridarium contigua et unitis
/BD_197	2 hospitia cum magnum platea
/BD_198	hospitium
/BD_199	2 hospitia contigua et sese tenentia
/BD_200	hospitium
/BD_201	burguetus
/BD_202	hospitium
/BD_203	hospitium
/BD_204	hospitium cum puteo et viridarium
/BD_205	2 hospitia contigua et unita et in unus hospitium reductus cum puteo
/BD_206	hospitium
/BD_207	hospitium
/BD_208	hospitium
/BD_209	hospitium cum magna platea sive curtis cum puteo
/BD_210	hospitium
/BD_211	hospitia contigua et unita et ad unus et idem hospitium reductus
/BD_212	hospitium
/BD_213	hospitium
/BD_214	hospitium
/BD_215	hospitium
/BD_216	hospitium
/BD_217	hospitium
/BD_218	soli seu terreni cum edificio suo desuper facto quod quidem terrenum vulgariter dicitur pozaca
/BD_219	burguetus
/BD_220	ortus
/BD_221	ortus
/BD_222	ortulus
/BD_223	domus et palherie
/BD_224	logue
/BD_225	domus et curtis contigua
/BD_226	hospitium et logue contiguorum
/BD_227	hospitium
/BD_228	hospitium
/BD_229	domus et logua contigua et sese tenentia unita
/BD_230	hospitia et magazina et logua contigua et unita
/BD_231	hospitia et magazina contigua et unita
/BD_232	grangia cum logis et curtibus
/BD_233	domus et logis contigua et unita
/BD_234	grangia cum domibus et logis sive curtibus et sese tenentibus
/BD_235	hospitia et viridaria
/BD_236	hospitia et viridaria ac curtis
/BD_237	hospitia et magazina ac logua sive curtis et magne platee terre cum viridario et puteo
/BD_238	domus et orti
/BD_239	ortum sive viridarium cum domo in introitu ipsius
/BD_240	ortolum
/BD_241	ortus
/BD_242	ortus
/BD_243	hospitium et viridarium contiguorum et sese tenentium
/BD_244	terre
/BD_245	hospitium et viridarium contiguorum et sese tenentium
/BD_246	2 hospitia contigua et unita et viridarium cum bono puteo
/BD_247	hospitium
/BD_248	burguetus
/BD_249	hospitium
/BD_250	hospitium et aliarum septem botigiarum, domorum sive hospitiorum et magazinorum
/BD_251	hospitium cum magazinis contiguis
/BD_252	hospitium
/BD_253	domus
/BD_254	domus
/BD_255	domus et magazinus contigua et sese tenentia
/BD_256	loge et grangie contiguarum et sese tenentium
/BD_257	hospitium et viridarium
/BD_443	hospitium in quo est furnus panis
/BD_444	2 hospitia contigua et sese tenentia
/BD_445	2 hospitia contigua et sese tenentia
/BD_446	hospitium
/BD_447	domuncula sive stabulum cum solerio
/BD_448	hospitium
/BD_449	hospitium cum platea magna et lata
/BD_450	hospitium
/BD_451	hospitium
/BD_452	hospitium
/BD_453	hospitium
/BD_454	hospitium
/BD_455	hospitium
/BD_456	hospitia et viridaria et orti contigua et sese tenentia
/BD_457	2 hospitia contigua et unita cum platea et puteo aque
/BD_458	hospitium
/BD_459	hospitium
/BD_460	hospitium
/BD_461	hospitium
/BD_462	hospitium
/BD_463	hospitium
/BD_464	2 hospitia
/BD_465	hospitium
/BD_466	curtis sive logua
/BD_467	logua et curtis
/BD_468	logua sive curte
